Sequence,A or a,E or e,I or i,O or o,U or u,Consonants
GFASENJLRV,1,1,0,0,0,8
CNTSBUk,0,0,0,0,1,6
yYCMbTOLKE,0,1,0,1,0,8
XOwYqT,0,0,0,1,0,5
TjQaxluPqD,1,0,0,0,1,8
NHhqGnBP,0,0,0,0,0,8
kXzCAEU,1,1,0,0,1,4
bInAfBdEp,1,1,1,0,0,6
EoVumsUnH,0,1,0,1,2,5
OxXQSHuv,0,0,0,1,1,6
TCLmUxW,0,0,0,0,1,6
MYALau,2,0,0,0,1,3
azQBDh,1,0,0,0,0,5
xgFVSkcu,0,0,0,0,1,7
UsItuyMjL,0,0,1,0,2,6
bgxdnW,0,0,0,0,0,6
mBlegi,0,1,1,0,0,4
kbxtaSv,1,0,0,0,0,6
tMNyjA,1,0,0,0,0,5
TmawhFYMp,1,0,0,0,0,8
KCivbxje,0,1,1,0,0,6
kbXWcGogHT,0,0,0,1,0,9
aUkRhxTiB,1,0,1,0,1,6
TOeByXE,0,2,0,1,0,4
BbWrxgv,0,0,0,0,0,7
xASNUinJYy,1,0,1,0,1,7
UjLgfYxHeQ,0,1,0,0,1,8
JLyPhfXD,0,0,0,0,0,8
WGDHSJ,0,0,0,0,0,6
IgbNCs,0,0,1,0,0,5
NtIWBJ,0,0,1,0,0,5
KormGRtej,0,1,0,1,0,7
oyMevXHNYT,0,1,0,1,0,8
APTwoH,1,0,0,1,0,4
XVSTLKF,0,0,0,0,0,7
RxaMKPdHA,2,0,0,0,0,7
KtVYbiS,0,0,1,0,0,6
yQOrYTZ,0,0,0,1,0,6
UgaSJvnrp,1,0,0,0,1,7
wQbnoPI,0,0,1,1,0,5
MFacNpO,1,0,0,1,0,5
qVfYda,1,0,0,0,0,5
PrKEVqTHLb,0,1,0,0,0,9
yqagzmV,1,0,0,0,0,6
oiNnjAIVX,1,0,2,1,0,5
CVQlivZwxb,0,0,1,0,0,9
KwVzLOR,0,0,0,1,0,6
pDIQcwi,0,0,2,0,0,5
eLdbBrS,0,1,0,0,0,6
qwPByAo,1,0,0,1,0,5
cVlngMdsx,0,0,0,0,0,9
DnWiypz,0,0,1,0,0,6
IXTpUsua,1,0,1,0,2,4
lYfmEaXiS,1,1,1,0,0,6
hnZRyj,0,0,0,0,0,6
XKrscm,0,0,0,0,0,6
NqdacT,1,0,0,0,0,5
XbjBuVAe,1,1,0,0,1,5
fXAnaCTV,2,0,0,0,0,6
uiLTYVwZg,0,0,1,0,1,7
oiKMGpebyt,0,1,1,1,0,7
xvosMPn,0,0,0,1,0,6
kaIKXEhbF,1,1,1,0,0,6
EhITSDsVx,0,1,1,0,0,7
UlOzpTGJrD,0,0,0,1,1,8
BhqQnRT,0,0,0,0,0,7
bspvzCH,0,0,0,0,0,7
rxynYTZz,0,0,0,0,0,8
ZUnodsKkIQ,0,0,1,1,1,7
eulcsMv,0,1,0,0,1,5
WXtOkFzHvo,0,0,0,2,0,8
DlAfjBJ,1,0,0,0,0,6
eoWQMZuN,0,1,0,1,1,5
RfGFOxCVEi,0,1,1,1,0,7
RzUqjnVM,0,0,0,0,1,7
BEqWTAJhp,1,1,0,0,0,7
vBTMDJ,0,0,0,0,0,6
khOWMUipA,1,0,1,1,1,5
WRnXBMu,0,0,0,0,1,6
CDMuXgrUex,0,1,0,0,2,7
wLKWGUV,0,0,0,0,1,6
PCMrymnK,0,0,0,0,0,8
qdegNuobFp,0,1,0,1,1,7
HcOFzq,0,0,0,1,0,5
gbyoKZ,0,0,0,1,0,5
LPaekFrYn,1,1,0,0,0,7
kfjrzJXBK,0,0,0,0,0,9
wOGvAit,1,0,1,1,0,4
GgqISB,0,0,1,0,0,5
tMiGqjaYN,1,0,1,0,0,7
rWozUp,0,0,0,1,1,4
mJUMFwyzOA,1,0,0,1,1,7
Xqifxug,0,0,1,0,1,5
ZsMJgV,0,0,0,0,0,6
duhjBo,0,0,0,1,1,4
XNoyEsVn,0,1,0,1,0,6
PSkCGt,0,0,0,0,0,6
KXPGBjvYI,0,0,1,0,0,8
OxnKmE,0,1,0,1,0,4
tlDYfu,0,0,0,0,1,5
bqngMUY,0,0,0,0,1,6
pOcmRn,0,0,0,1,0,5
byMWSa,1,0,0,0,0,5
nhTeXjMkL,0,1,0,0,0,8
yLkhMXr,0,0,0,0,0,7
IMnXEe,0,2,1,0,0,3
ItXkOBL,0,0,1,1,0,5
dImpkRHU,0,0,1,0,1,6
LoSOuMbwf,0,0,0,2,1,6
fEcMjJnG,0,1,0,0,0,7
WbhMpHx,0,0,0,0,0,7
ukRwQb,0,0,0,0,1,5
yxKmLdTYi,0,0,1,0,0,8
FeOnygv,0,1,0,1,0,5
gtqIST,0,0,1,0,0,5
odCAwfuNUa,2,0,0,1,2,5
pwecArFW,1,1,0,0,0,6
vTiUhn,0,0,1,0,1,4
RytmzW,0,0,0,0,0,6
gRJCkFD,0,0,0,0,0,7
hMZsNoaQ,1,0,0,1,0,6
HENJoQciaO,1,1,1,2,0,5
hIJWfycP,0,0,1,0,0,7
IliRtOy,0,0,2,1,0,4
EYKJlgm,0,1,0,0,0,6
AdQzuG,1,0,0,0,1,4
yfpnYIgFml,0,0,1,0,0,9
pmwMBS,0,0,0,0,0,6
mUZViFrO,0,0,1,1,1,5
gvQdcxbED,0,1,0,0,0,8
VdWKbe,0,1,0,0,0,5
ehFNzKsi,0,1,1,0,0,6
ZHTVyJCRk,0,0,0,0,0,9
fXxWbaMSz,1,0,0,0,0,8
UQJyAdobvS,1,0,0,1,1,7
rpRxAv,1,0,0,0,0,5
INoVhpE,0,1,1,1,0,4
UiogGC,0,0,1,1,1,3
lWBqKXZL,0,0,0,0,0,8
MzwKEAqchN,1,1,0,0,0,8
pmZFwr,0,0,0,0,0,6
FhGekO,0,1,0,1,0,4
YQaKXVi,1,0,1,0,0,5
eCrkbpudWx,0,1,0,0,1,8
WeVFPY,0,1,0,0,0,5
KugRVsPQa,1,0,0,0,1,7
GiBHIhyEgJ,0,1,2,0,0,7
zeIJcV,0,1,1,0,0,4
WKnjhX,0,0,0,0,0,6
OcyVJrt,0,0,0,1,0,6
tDgXLGJhT,0,0,0,0,0,9
TEFjIo,0,1,1,1,0,3
oBtcpQKGge,0,1,0,1,0,8
tdbGsoP,0,0,0,1,0,6
GPzjCUJ,0,0,0,0,1,6
TLMNBo,0,0,0,1,0,5
cxlEqw,0,1,0,0,0,5
gGjbXzHMP,0,0,0,0,0,9
MquezYDgVb,0,1,0,0,1,8
QuRkTFbc,0,0,0,0,1,7
GlMcbESzU,0,1,0,0,1,7
MUWkXBl,0,0,0,0,1,6
SvAYErgqa,2,1,0,0,0,6
IJSTEW,0,1,1,0,0,4
fnNTsikKIm,0,0,2,0,0,8
yxVmgOzu,0,0,0,1,1,6
DxPrceL,0,1,0,0,0,6
YoLuGhrsy,0,0,0,1,1,7
xBklNw,0,0,0,0,0,6
fTmNIMSl,0,0,1,0,0,7
VQfAMhldaI,2,0,1,0,0,7
gDixQhdSt,0,0,1,0,0,8
mHoYsbXaJM,1,0,0,1,0,8
uvejCGLcig,0,1,1,0,1,7
lNMfcQ,0,0,0,0,0,6
OnXFMbef,0,1,0,1,0,6
lSriRLC,0,0,1,0,0,6
pLtqFf,0,0,0,0,0,6
hueLEfvA,1,2,0,0,1,4
Nybsdoh,0,0,0,1,0,6
jXPnYeyms,0,1,0,0,0,8
yzuRSdm,0,0,0,0,1,6
GnHliKmEP,0,1,1,0,0,7
agUIKZFS,1,0,1,0,1,5
PjsVkYOQ,0,0,0,1,0,7
asVUfAzRN,2,0,0,0,1,6
tTCwAZfoUu,1,0,0,1,2,6
CdpkmYg,0,0,0,0,0,7
lmBAPN,1,0,0,0,0,5
puVqxtF,0,0,0,0,1,6
ElVdURjIBC,0,1,1,0,1,7
MnCEbvj,0,1,0,0,0,6
aTpBPcfqCS,1,0,0,0,0,9
tcnQBpl,0,0,0,0,0,7
QNidyXsmFr,0,0,1,0,0,9
ZETgtrl,0,1,0,0,0,6
uzNQOmwcp,0,0,0,1,1,7
cwxmjS,0,0,0,0,0,6
pwXCovjR,0,0,0,1,0,7
YJrHSljfzD,0,0,0,0,0,10
MNuAlP,1,0,0,0,1,4
BZesvQtk,0,1,0,0,0,7
OFDbsZT,0,0,0,1,0,6
LMusXZ,0,0,0,0,1,5
vmpFrE,0,1,0,0,0,5
XDMIFK,0,0,1,0,0,5
TzlDJXtHx,0,0,0,0,0,9
hPJSbNK,0,0,0,0,0,7
jnNXAJfC,1,0,0,0,0,7
kEcgDIMY,0,1,1,0,0,6
USDpClickZ,0,0,1,0,1,8
OhAXaBf,2,0,0,1,0,4
ZILRfsBcj,0,0,1,0,0,8
uHVTSFw,0,0,0,0,1,6
iSqchPQ,0,0,1,0,0,6
PWlELC,0,1,0,0,0,5
gJWhAiS,1,0,1,0,0,5
EmxXtqM,0,1,0,0,0,6
kjEWxUhnS,0,1,0,0,1,7
QEopcOh,0,1,0,2,0,4
UzsaqB,1,0,0,0,1,4
pPvYOhF,0,0,0,1,0,6
mwhHbPsVSW,0,0,0,0,0,10
DSEzicIkre,0,2,2,0,0,6
jPvRzL,0,0,0,0,0,6
AaMSWV,2,0,0,0,0,4
WKEyoTn,0,1,0,1,0,5
afrYJIq,1,0,1,0,0,5
vGEXQC,0,1,0,0,0,5
VaUKyM,1,0,0,0,1,4
UckRKhpQT,0,0,0,0,1,8
mcvDaCHV,1,0,0,0,0,7
JXCfQE,0,1,0,0,0,5
iyPTzOB,0,0,1,1,0,5
RpzNKLePcE,0,2,0,0,0,8
wYBzNr,0,0,0,0,0,6
RpKtbhy,0,0,0,0,0,7
cSZILX,0,0,1,0,0,5
vhzIxM,0,0,1,0,0,5
lmIjLEaP,1,1,1,0,0,5
JNPncFZRE,0,1,0,0,0,8
bjAYrctC,1,0,0,0,0,7
mKBaTSrhIX,1,0,1,0,0,8
aZsoFHd,1,0,0,1,0,5
DmWQta,1,0,0,0,0,5
WPZiMezNOB,0,1,1,1,0,7
YkAqzCFKEQ,1,1,0,0,0,8
mWtNqh,0,0,0,0,0,6
MgpsmG,0,0,0,0,0,6
PiUQbRvs,0,0,1,0,1,6
UpVMOvI,0,0,1,1,1,4
SivtBo,0,0,1,1,0,4
WnmYNgFL,0,0,0,0,0,8
JkRFYH,0,0,0,0,0,6
yDpzmHqkh,0,0,0,0,0,9
xfwiMDKv,0,0,1,0,0,7
yPScNmf,0,0,0,0,0,7
lgWLSHOs,0,0,0,1,0,7
ivwotm,0,0,1,1,0,4
TIGmzA,1,0,1,0,0,4
CKRhis,0,0,1,0,0,5
nJvbyOr,0,0,0,1,0,6
XLehayTV,1,1,0,0,0,6
ARjOXGv,1,0,0,1,0,5
XaCDNp,1,0,0,0,0,5
VjNdGTr,0,0,0,0,0,7
uxgknacBM,1,0,0,0,1,7
zyZOQvRDT,0,0,0,1,0,8
VAEkpqy,1,1,0,0,0,5
qMwpmP,0,0,0,0,0,6
tmRdOiCfPK,0,0,1,1,0,8
qRELKNh,0,1,0,0,0,6
VOIwJQTE,0,1,1,1,0,5
tBGJSQsW,0,0,0,0,0,8
kmRpbx,0,0,0,0,0,6
HlMDZT,0,0,0,0,0,6
oEYaMF,1,1,0,1,0,3
rJYLkF,0,0,0,0,0,6
GALTqbKhZ,1,0,0,0,0,8
XnfVNuO,0,0,0,1,1,5
NbtKlV,0,0,0,0,0,6
IwcaQT,1,0,1,0,0,4
kGWpUTnEx,0,1,0,0,1,7
mcZOuAW,1,0,0,1,1,4
YDtplJ,0,0,0,0,0,6
fiaKpDj,1,0,1,0,0,5
HFUEnDZf,0,1,0,0,1,6
zrTEGa,1,1,0,0,0,4
ZkwBAquD,1,0,0,0,1,6
mOMxdN,0,0,0,1,0,5
jNlDgoxGm,0,0,0,1,0,8
NjiHYKD,0,0,1,0,0,6
PuVlgt,0,0,0,0,1,5
OKJQESNX,0,1,0,1,0,6
KxhMPYN,0,0,0,0,0,7
TxIGZgbf,0,0,1,0,0,7
juwxTbWKBp,0,0,0,0,1,9
dPGHwE,0,1,0,0,0,5
lITdNJeA,1,1,1,0,0,5
ARuCPgkx,1,0,0,0,1,6
kCvqHI,0,0,1,0,0,5
gvMTFG,0,0,0,0,0,6
KxnwbGY,0,0,0,0,0,7
FncaSC,1,0,0,0,0,5
xbYgFtinHr,0,0,1,0,0,9
XnNJZQhKpE,0,1,0,0,0,9
XYBFrESH,0,1,0,0,0,7
NnkJrFua,1,0,0,0,1,6
IZEYOXt,0,1,1,1,0,4
qtJpKARwI,1,0,1,0,0,7
mvyWGC,0,0,0,0,0,6
mDfHJSs,0,0,0,0,0,7
cShmCgNk,0,0,0,0,0,8
cTvHZjrd,0,0,0,0,0,8
dUPtgOJhDe,0,1,0,1,1,7
MyqFIci,0,0,2,0,0,5
WACqlYdU,1,0,0,0,1,6
RjJnNTeBF,0,1,0,0,0,8
JQnLiP,0,0,1,0,0,5
fVBRtwudOF,0,0,0,1,1,8
jhfYpxW,0,0,0,0,0,7
eGdWCgbzQ,0,1,0,0,0,8
zfiltYNwg,0,0,1,0,0,8
BJSHjFn,0,0,0,0,0,7
pCGSDqFV,0,0,0,0,0,8
cStTnlgpxM,0,0,0,0,0,10
fSFLtG,0,0,0,0,0,6
GJaQvk,1,0,0,0,0,5
fipZYbd,0,0,1,0,0,6
tZjvCToVm,0,0,0,1,0,8
vcFgPT,0,0,0,0,0,6
osbWQGSf,0,0,0,1,0,7
IXfFEPr,0,1,1,0,0,5
IgJLcpQXwC,0,0,1,0,0,9
SINoAi,1,0,2,1,0,2
pNXhITVsSL,0,0,1,0,0,9
Tcezmbp,0,1,0,0,0,6
vByKUal,1,0,0,0,1,5
AJCWZHnM,1,0,0,0,0,7
CQJZtupYb,0,0,0,0,1,8
tbDLhIW,0,0,1,0,0,6
ZMATYbGBSd,1,0,0,0,0,9
nqVRCigEae,1,2,1,0,0,6
IBYvuQbP,0,0,1,0,1,6
vQmurMKPE,0,1,0,0,1,7
fdYIbDR,0,0,1,0,0,6
GaXqRMv,1,0,0,0,0,6
sOmAQYw,1,0,0,1,0,5
nPuMCXBH,0,0,0,0,1,7
UcrAkR,1,0,0,0,1,4
mkyMHCJsj,0,0,0,0,0,9
VPXMEZqdeR,0,2,0,0,0,8
jKRAXyDUCe,1,1,0,0,1,7
vLiFmQVg,0,0,1,0,0,7
YEdZsoQc,0,1,0,1,0,6
idTGXEhan,1,1,1,0,0,6
cuNliw,0,0,1,0,1,4
YrAwPRtl,1,0,0,0,0,7
tfDyXOLZ,0,0,0,1,0,7
gENLiP,0,1,1,0,0,4
JLyAjHz,1,0,0,0,0,6
YcyptxXZA,1,0,0,0,0,8
CqXTZmM,0,0,0,0,0,7
hlvgNUd,0,0,0,0,1,6
aUCPsdFc,1,0,0,0,1,6
QoGWdeR,0,1,0,1,0,5
PHywKa,1,0,0,0,0,5
kyuicQ,0,0,1,0,1,4
aAPZiHBMF,2,0,1,0,0,6
VfUcqaQjwm,1,0,0,0,1,8
FGIZNn,0,0,1,0,0,5
vCBKoTwN,0,0,0,1,0,7
viYsnmHtBL,0,0,1,0,0,9
IwZxtQPc,0,0,1,0,0,7
GMTsycp,0,0,0,0,0,7
lpdXAuR,1,0,0,0,1,5
SWFtGmva,1,0,0,0,0,7
aRgFGl,1,0,0,0,0,5
nqOjJIkL,0,0,1,1,0,6
yTwalc,1,0,0,0,0,5
EhMCtF,0,1,0,0,0,5
QShtCAE,1,1,0,0,0,5
tBSfpjImnP,0,0,1,0,0,9
tLNyIYHo,0,0,1,1,0,6
XObYRJDs,0,0,0,1,0,7
UpQhTvjZwM,0,0,0,0,1,9
DKSzgyW,0,0,0,0,0,7
WbNJQhU,0,0,0,0,1,6
RHPSahqobe,1,1,0,1,0,7
MuNdilRED,0,1,1,0,1,6
tXphKG,0,0,0,0,0,6
HSCtlRrVU,0,0,0,0,1,8
nZREFs,0,1,0,0,0,5
NWlnOb,0,0,0,1,0,5
ncTQoHNa,1,0,0,1,0,6
cGbKlaez,1,1,0,0,0,6
nHLvANKo,1,0,0,1,0,6
xlIucdO,0,0,1,1,1,4
PabMxwfCpR,1,0,0,0,0,9
goqOPc,0,0,0,2,0,4
MHEiFCGIJd,0,1,2,0,0,7
bJgyril,0,0,1,0,0,6
lWLHxNRd,0,0,0,0,0,8
YVktRcC,0,0,0,0,0,7
mlGyYut,0,0,0,0,1,6
KGSPyI,0,0,1,0,0,5
UHvQhxZrP,0,0,0,0,1,8
vMixEg,0,1,1,0,0,4
kFgpYPm,0,0,0,0,0,7
YnlXJhQN,0,0,0,0,0,8
svJEVAc,1,1,0,0,0,5
KbhprfPlAt,1,0,0,0,0,9
OgLztpj,0,0,0,1,0,6
UVxgrzGe,0,1,0,0,1,6
fjkuXH,0,0,0,0,1,5
ghIsGHwWvC,0,0,1,0,0,9
lYEpAIQC,1,1,1,0,0,5
bXyDLp,0,0,0,0,0,6
LTXgDlfW,0,0,0,0,0,8
PJHYnovKfz,0,0,0,1,0,9
OiIYuwsP,0,0,2,1,1,4
OsqLAlh,1,0,0,1,0,5
HXDrBNl,0,0,0,0,0,7
gawrPchBn,1,0,0,0,0,8
XltaoQM,1,0,0,1,0,5
WsaqeQFg,1,1,0,0,0,6
XAPseMWE,1,2,0,0,0,5
pmrUvWz,0,0,0,0,1,6
nziCmw,0,0,1,0,0,5
zQoPixgnX,0,0,1,1,0,7
lGFLPuD,0,0,0,0,1,6
zjQTuL,0,0,0,0,1,5
sWXYqbgOvK,0,0,0,1,0,9
IaqMhu,1,0,1,0,1,3
IFZQHV,0,0,1,0,0,5
aChVDno,1,0,0,1,0,5
lBCWaVhcm,1,0,0,0,0,8
OpDaVtxolK,1,0,0,2,0,7
INMQKc,0,0,1,0,0,5
PqGemf,0,1,0,0,0,5
aQMhySt,1,0,0,0,0,6
MCoyHU,0,0,0,1,1,4
PIUSFhvMz,0,0,1,0,1,7
BKSFEA,1,1,0,0,0,4
KjakTwYmcx,1,0,0,0,0,9
UMARIjNx,1,0,1,0,1,5
MhKBcX,0,0,0,0,0,6
kMYZBpt,0,0,0,0,0,7
xiKzvYa,1,0,1,0,0,5
GnrJZsTL,0,0,0,0,0,8
CHwrfTR,0,0,0,0,0,7
ZFGMuAw,1,0,0,0,1,5
YRzAGae,2,1,0,0,0,4
HFWwfr,0,0,0,0,0,6
BoSbCwQODg,0,0,0,2,0,8
HtYpFwJKe,0,1,0,0,0,8
hvGZRaf,1,0,0,0,0,6
piPbxZj,0,0,1,0,0,6
IAJfoB,1,0,1,1,0,3
qrfgsQ,0,0,0,0,0,6
ajAdZBxX,2,0,0,0,0,6
bvEmzMxNI,0,1,1,0,0,7
DNhqMS,0,0,0,0,0,6
PEFkJR,0,1,0,0,0,5
oCJTZd,0,0,0,1,0,5
OTZwBQj,0,0,0,1,0,6
NtAiDrRm,1,0,1,0,0,6
PxuTLYoE,0,1,0,1,1,5
qBYnTEK,0,1,0,0,0,6
fMYSXAtG,1,0,0,0,0,7
gSwPjbA,1,0,0,0,0,6
xlfWwLmcbU,0,0,0,0,1,9
eBPHYGJRW,0,1,0,0,0,8
sWYVftBl,0,0,0,0,0,8
hFLjRWXy,0,0,0,0,0,8
LFdtcpj,0,0,0,0,0,7
EKdmFv,0,1,0,0,0,5
znwUWogO,0,0,0,2,1,5
CGPLdEbF,0,1,0,0,0,7
ZrgxHUM,0,0,0,0,1,6
YsyDhnJxOI,0,0,1,1,0,8
dWfiSItZ,0,0,2,0,0,6
tiKbwqgH,0,0,1,0,0,7
oJXzmU,0,0,0,1,1,4
KXmNjl,0,0,0,0,0,6
EKwHZgiN,0,1,1,0,0,6
LzJtuqge,0,1,0,0,1,6
cqQYyEO,0,1,0,1,0,5
LcnATOsti,1,0,1,1,0,6
eipYUCOPHB,0,1,1,1,1,6
uFbQVcspI,0,0,1,0,1,7
mHdxIN,0,0,1,0,0,5
tBRNFT,0,0,0,0,0,6
lCXjJk,0,0,0,0,0,6
gKarTG,1,0,0,0,0,5
JOamdctv,1,0,0,1,0,6
mavfRCnTUy,1,0,0,0,1,8
otgBexm,0,1,0,1,0,5
qwPuYZfU,0,0,0,0,2,6
dreCGfW,0,1,0,0,0,6
sjhCDUfv,0,0,0,0,1,7
QdiaOmJFG,1,0,1,1,0,6
ayFktw,1,0,0,0,0,5
YxucEG,0,1,0,0,1,4
LAMsYFPv,1,0,0,0,0,7
IqNQPCkOh,0,0,1,1,0,7
yqIVvOd,0,0,1,1,0,5
yGaJbcon,1,0,0,1,0,6
qnuSwvptcb,0,0,0,0,1,9
EjtNqFv,0,1,0,0,0,6
DzxnRMf,0,0,0,0,0,7
VsLbYCWI,0,0,1,0,0,7
gcFtfCHk,0,0,0,0,0,8
cQVfZJFwj,0,0,0,0,0,9
djEonXwz,0,1,0,1,0,6
Tnkipb,0,0,1,0,0,5
cMDwrWj,0,0,0,0,0,7
SvzVJWY,0,0,0,0,0,7
NoKMHp,0,0,0,1,0,5
geFZcMJ,0,1,0,0,0,6
hAsMiYfbL,1,0,1,0,0,7
PLVICHtn,0,0,1,0,0,7
sJZobnU,0,0,0,1,1,5
vMPOlIr,0,0,1,1,0,5
rMToxIb,0,0,1,1,0,5
zOEHXR,0,1,0,1,0,4
LAFDTdY,1,0,0,0,0,6
vMyeKQXU,0,1,0,0,1,6
KXFskmphOv,0,0,0,1,0,9
abKWThL,1,0,0,0,0,6
huJXMg,0,0,0,0,1,5
DYzIxnUF,0,0,1,0,1,6
LbrJevGdaT,1,1,0,0,0,8
nLgAWFkS,1,0,0,0,0,7
eCkoRTuH,0,1,0,1,1,5
uIlAtsyaU,2,0,1,0,2,4
jLeYJab,1,1,0,0,0,5
oQUYHFj,0,0,0,1,1,5
BvhROZiLx,0,0,1,1,0,7
gcIvwrM,0,0,1,0,0,6
JUnBGpHX,0,0,0,0,1,7
TDMsrgU,0,0,0,0,1,6
LwVIvs,0,0,1,0,0,5
Xwsbya,1,0,0,0,0,5
tPcZabB,1,0,0,0,0,6
sTENKCjq,0,1,0,0,0,7
DvYqzAn,1,0,0,0,0,6
ImKCndxB,0,0,1,0,0,7
FyagbmXk,1,0,0,0,0,7
SBrkszGA,1,0,0,0,0,7
cHJenpuY,0,1,0,0,1,6
SDlgJBqwpd,0,0,0,0,0,10
WSXzZB,0,0,0,0,0,6
ywlFbE,0,1,0,0,0,5
gXzpikZ,0,0,1,0,0,6
mtUGlBv,0,0,0,0,1,6
DfcNXW,0,0,0,0,0,6
bErdISZt,0,1,1,0,0,6
ZecMAC,1,1,0,0,0,4
gOTQlqoYNj,0,0,0,2,0,8
jaUJvcQzWO,1,0,0,1,1,7
EyoVWsnp,0,1,0,1,0,6
vFdNra,1,0,0,0,0,5
sqeaRkB,1,1,0,0,0,5
MRWiCrn,0,0,1,0,0,6
cRATweKD,1,1,0,0,0,6
SaFKpuvr,1,0,0,0,1,6
OdzCwGZ,0,0,0,1,0,6
lxWvEM,0,1,0,0,0,5
BjYZqXb,0,0,0,0,0,7
JqFTyj,0,0,0,0,0,6
PywWifjBFZ,0,0,1,0,0,9
AFViUxoQP,1,0,1,1,1,5
sSuYmx,0,0,0,0,1,5
glqWFi,0,0,1,0,0,5
sWUJACdIDt,1,0,1,0,1,7
FHobKItn,0,0,1,1,0,6
RqLoQzWce,0,1,0,1,0,7
MDnrOdWU,0,0,0,1,1,6
iTeFRGz,0,1,1,0,0,5
ztnoiAR,1,0,1,1,0,4
mgtikLxz,0,0,1,0,0,7
RUWwrLDM,0,0,0,0,1,7
CfXZFkjxW,0,0,0,0,0,9
hLWoEwDCX,0,1,0,1,0,7
LvsGjHXzlB,0,0,0,0,0,10
UVKIYE,0,1,1,0,1,3
FWkMfSuv,0,0,0,0,1,7
FTeZIUGAOE,1,2,1,1,1,4
GrkaJtp,1,0,0,0,0,6
fZhOuqI,0,0,1,1,1,4
mUdyZlK,0,0,0,0,1,6
jEKpVUY,0,1,0,0,1,5
HgOECSojQn,0,1,0,2,0,7
MVnAulW,1,0,0,0,1,5
ZhlmzjkVH,0,0,0,0,0,9
WtciPqpo,0,0,1,1,0,6
RpNfaB,1,0,0,0,0,5
cGHWQbl,0,0,0,0,0,7
wRsueLM,0,1,0,0,1,5
nSKopweJ,0,1,0,1,0,6
jRYArHQvXz,1,0,0,0,0,9
JCvKSjz,0,0,0,0,0,7
FuYwXO,0,0,0,1,1,4
mEVbkptu,0,1,0,0,1,6
rxbLepS,0,1,0,0,0,6
vNxCpD,0,0,0,0,0,6
NMLdTIEu,0,1,1,0,1,5
BJUFSb,0,0,0,0,1,5
ZuDbsCS,0,0,0,0,1,6
KANgykov,1,0,0,1,0,6
GJkYcp,0,0,0,0,0,6
eEVDHRkxp,0,2,0,0,0,7
dkiEnxmK,0,1,1,0,0,6
aiAboLCG,2,0,1,1,0,4
wmZphMvx,0,0,0,0,0,8
YdbzHE,0,1,0,0,0,5
hBEXmtQRD,0,1,0,0,0,8
KPDTNe,0,1,0,0,0,5
rPFpxRHVuC,0,0,0,0,1,9
oCdmFeO,0,1,0,2,0,4
AMsRND,1,0,0,0,0,5
VPfOdzek,0,1,0,1,0,6
ecnspHxK,0,1,0,0,0,7
XlqIvpnrB,0,0,1,0,0,8
CwzXYbxf,0,0,0,0,0,8
gHNqKf,0,0,0,0,0,6
TWBxcJMjt,0,0,0,0,0,9
sXZMCaw,1,0,0,0,0,6
fdXpCImkx,0,0,1,0,0,8
shCJeuE,0,2,0,0,1,4
sbKSTn,0,0,0,0,0,6
zEYehwx,0,2,0,0,0,5
orGeAUzkJ,1,1,0,1,1,5
CTeAOt,1,1,0,1,0,3
WCrhGR,0,0,0,0,0,6
dMjaGX,1,0,0,0,0,5
cbLrMVKm,0,0,0,0,0,8
DlUdFtJi,0,0,1,0,1,6
NsvUWj,0,0,0,0,1,5
pkSazGf,1,0,0,0,0,6
HrRTKBIJWo,0,0,1,1,0,8
wEBlPUYyke,0,2,0,0,1,7
flrcvHZ,0,0,0,0,0,7
raHqUhCwbK,1,0,0,0,1,8
kFjzPLo,0,0,0,1,0,6
fLgWDTOn,0,0,0,1,0,7
AQwGTXj,1,0,0,0,0,6
EcmqySz,0,1,0,0,0,6
eQPwFI,0,1,1,0,0,4
BdQaGtZl,1,0,0,0,0,7
YOAdQFZsW,1,0,0,1,0,7
wtGljrJMW,0,0,0,0,0,9
apoSeVEg,1,2,0,1,0,4
lZSVjBTK,0,0,0,0,0,8
jJnPwGHDgs,0,0,0,0,0,10
UgNhLpJyl,0,0,0,0,1,8
NmjwFAc,1,0,0,0,0,6
kynqXEJu,0,1,0,0,1,6
HNhZzUMnEP,0,1,0,0,1,8
ZmMifK,0,0,1,0,0,5
EmgCTr,0,1,0,0,0,5
HfEAVDv,1,1,0,0,0,5
iOcBGAE,1,1,1,1,0,3
fbKykM,0,0,0,0,0,6
tojIewOSs,0,1,1,2,0,5
MwKWeQlCp,0,1,0,0,0,8
qThOrNo,0,0,0,2,0,5
gpaVblJ,1,0,0,0,0,6
BDuycgR,0,0,0,0,1,6
kzpOFXCI,0,0,1,1,0,6
vDIEGBRuYh,0,1,1,0,1,7
aTrLJc,1,0,0,0,0,5
gaWxKmLI,1,0,1,0,0,6
NYFaeGdcx,1,1,0,0,0,7
MLqxvc,0,0,0,0,0,6
dvByuARCM,1,0,0,0,1,7
ZfEFTNS,0,1,0,0,0,6
hqHQPe,0,1,0,0,0,5
rzZFjD,0,0,0,0,0,6
RdhwXrqc,0,0,0,0,0,8
zGOcynhHIB,0,0,1,1,0,8
YsyZPI,0,0,1,0,0,5
JCEBUr,0,1,0,0,1,4
mUywnBdl,0,0,0,0,1,7
vzRJIc,0,0,1,0,0,5
gDoJvR,0,0,0,1,0,5
JAufSjVmPF,1,0,0,0,1,8
BjIJNMq,0,0,1,0,0,6
